Cycle	11350 mV	11300 mV	11250 mV	11200 mV	11150 mV	11100 mV	11050 mV	11000 mV	10950 mV	10900 mV	10850 mV	10800 mV	DCHG Capacity	CHG Capacity
200	585	1245	1935	2685	3405	4050	4725	5250	5670	6240	6885	7095	1929.083374	1939.479126	
201	600	1245	1935	2670	3405	4050	4710	5250	5670	6240	6885	7080	1932.791626	1937.941650	
202	600	1245	1950	2685	3420	4065	4725	5265	5685	6255	6900	7095	1931.241699	1934.108276	
203	585	1245	1935	2685	3390	4050	4710	5250	5670	6240	6885	7095	1929.466675	1940.608276	
204	600	1245	1935	2670	3405	4050	4710	5250	5670	6240	6885	7095	1931.175049	1942.558350	
205	585	1245	1935	2670	3405	4050	4710	5250	5685	6240	6885	7095	1929.412476	1937.554199	
206	600	1245	1950	2670	3390	4035	4710	5235	5670	6225	6885	7080	1928.991699	1937.620850	
207	600	1260	1950	2685	3405	4050	4710	5265	5670	6225	6885	7095	1927.766724	1934.554199	
208	585	1245	1935	2670	3390	4035	4695	5250	5670	6225	6885	7080	1929.795776	1934.341675	
209	585	1230	1920	2670	3390	4035	4695	5235	5670	6210	6870	7080	1927.675049	1946.199951	
210	585	1245	1935	2670	3390	4035	4695	5250	5670	6225	6885	7080	1931.733276	1942.670776	
211	600	1245	1950	2685	3405	4050	4710	5250	5670	6225	6885	7095	1926.812500	1941.087524	
212	585	1230	1920	2670	3405	4035	4695	5235	5655	6210	6870	7080	1925.591675	1932.520874	
213	585	1230	1935	2655	3390	4035	4695	5235	5655	6210	6870	7065	1919.800049	1936.283325	
214	585	1245	1935	2670	3390	4035	4695	5235	5655	6210	6870	7080	1926.583374	1931.625000	
215	585	1245	1935	2655	3390	4035	4695	5235	5655	6210	6870	7065	1926.983276	1951.279175	
216	600	1245	1920	2670	3390	4035	4695	5235	5670	6210	6855	7065	1924.570801	1939.054199	
217	600	1260	1950	2670	3390	4035	4695	5235	5670	6195	6870	7080	1921.574951	1944.029175	
218	585	1245	1920	2655	3375	4035	4680	5235	5655	6195	6855	7065	1927.987549	1933.245850	
219	585	1230	1935	2670	3390	4035	4680	5235	5655	6195	6870	7065	1926.291626	1945.620850	
220	600	1245	1935	2670	3390	4035	4695	5235	5670	6210	6870	7080	1926.800049	1937.795776	
221	585	1230	1935	2670	3375	4035	4680	5235	5655	6180	6855	7065	1928.370850	1939.141724	
222	600	1245	1935	2670	3390	4050	4695	5235	5670	6195	6870	7080	1926.324951	1939.641724	
223	585	1230	1935	2655	3375	4035	4680	5235	5655	6180	6855	7065	1928.529175	1933.062500	
224	600	1245	1935	2670	3390	4035	4695	5235	5655	6195	6870	7080	1922.379150	1934.937500	
225	585	1230	1920	2655	3375	4020	4680	5220	5640	6165	6855	7065	1924.808350	1933.666626	
226	585	1230	1935	2655	3375	4035	4680	5235	5655	6180	6855	7065	1922.287476	1932.591675	
227	600	1245	1935	2655	3390	4035	4680	5235	5655	6180	6855	7080	1926.833374	1929.204224	
228	600	1245	1935	2670	3375	4035	4680	5235	5655	6180	6870	7080	1923.108276	1930.820801	
229	600	1245	1920	2655	3375	4020	4680	5220	5640	6150	6855	7065	1926.604126	1936.150024	
230	585	1230	1935	2655	3375	4020	4680	5220	5670	6180	6855	7065	1922.204224	1939.295776	
231	585	1230	1920	2640	3375	4020	4665	5220	5640	6165	6855	7065	1919.995850	1926.737549	
232	585	1230	1920	2655	3375	4020	4680	5220	5640	6165	6855	7065	1922.812500	1926.824951	
233	585	1230	1920	2640	3375	4020	4665	5220	5640	6165	6855	7065	1924.712524	1929.275024	
234	600	1245	1920	2655	3375	4035	4680	5235	5655	6165	6855	7080	1923.058350	1927.912476	
